x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 y
5.382 0.815 1.716 5.946 6.01 4.995 0.674 -0.892 10.084 0.608 1
5.029 -0.481 2.095 2.964 2.082 3.651 -1.864 3.996 6.891 0.053 1
2.13 2.225 -1.862 -0.049 6.447 5.667 6.305 4.788 1.091 2.595 0
1.732 3.609 -1.093 -0.76 1.982 0.997 0.105 2.392 0.66 3.951 0
1.89 0.407 -3.845 -2.29 1.296 0.792 3.386 -0.234 -0.261 0.701 1
0.587 2.88 -3.615 -1.026 6.425 4.472 2.337 6.779 -0.714 3.253 1
3.279 6.503 -0.364 1.676 2.442 -0.99 -3.799 5.377 5.667 6.811 1
-0.228 5.345 1.284 3.217 6.049 3.619 -5.013 3.752 2.355 5.851 1
6.903 6.374 4.499 6.992 3.718 6.41 1.89 3.943 13.978 6.457 1
0.341 5.524 -0.112 0.804 5.685 4.211 1.463 1.658 1.36 5.901 1
5.384 2.724 -1.094 -0.76 4.605 1.03 -3.658 1.688 4.54 2.905 1
3.75 3.492 2.709 3.18 -0.575 6.187 1.226 4.971 7.118 3.23 0
6.242 1.591 1.621 4.993 3.703 4.603 -2.546 6.853 11.064 1.038 1
6.047 3.535 0.837 1.948 6.55 5.268 2.357 2.207 8.233 4.28 1
6.951 4.391 1.796 2.385 1.754 0.33 6.242 5.085 9.742 4.402 1
6.168 5.172 -0.436 1 6.049 0.747 -3.257 3.464 7.916 5.248 1
6.029 3.637 -0.334 1.86 -0.637 2.552 -2.677 -0.261 7.559 3.684 1
0.581 5.27 -1.889 -1.784 6.118 6.525 -0.711 2.208 -0.711 4.824 1
1.68 6.728 4.811 6.705 -0.394 3.39 0.303 2.181 8.884 6.671 1
5.218 -0.678 -1.404 0.333 2.319 -0.61 -0.743 2.476 5.623 -0.997 1
0.277 -0.525 -0.967 -0.883 3.177 6.433 -4.566 2.168 -0.773 -0.513 1
-0.355 4.172 2.35 2.961 4.686 1.238 -2.265 2.169 2.843 4.663 1
0.061 6.014 0.673 1.583 4.675 6.206 2.905 2.441 2.098 6.552 1
0.375 -0.577 -4.394 -1.105 4.443 3.284 1.234 2.901 0.18 -0.878 1
2.822 -0.965 -5.599 -4.906 3.363 -0.84 -4.569 5.389 -1.973 -0.38 1
4.604 0.042 -3.604 -2.851 5.716 0.646 7.828 6.023 1.719 1.05 1
6.039 5.633 -1.236 -0.208 2.375 0.867 -1.395 3.275 5.4 6.05 1
6.022 -0.079 -2.4 0.62 5.965 0.48 -3.87 6.098 6.303 -0.016 1
5.831 6.549 -1.293 -1.231 3.47 1.509 3.511 -0.845 4.909 6.385 1
0.328 1.525 -4.144 -2.793 2.315 3.566 -0.41 1.433 -3.168 0.934 1
3.184 1.549 -1.751 1.964 -0.881 6.585 3.196 4.95 4.735 2.063 0
5.953 4.533 3.617 4.742 -0.674 0.709 3.278 -0.398 10.452 4.641 1
0.849 1.303 -8.199 -6.166 6.08 -0.981 0.05 1.829 -5.99 0.345 0
-0.047 1.911 3.51 6.234 6.18 4.726 -1.379 2.138 6.202 2.284 1
5.592 0.025 -4.277 -1.461 3.437 3.498 -2.711 5.207 4.081 0.466 1
-0.358 2.208 2.076 2.745 1.664 0.157 1.559 1.547 1.647 2.541 1
6.619 3.821 4.498 8.199 3.403 6.516 1.807 3.391 15.43 4.315 1
5.973 6.119 -3.604 -3.156 0.691 3.42 1.401 6.815 2.008 5.51 1
4.697 5.868 0.296 1.167 5.452 -0.62 0.444 4.711 5.25 6.099 1
3.843 2.729 2.77 3.445 6.971 5.667 -4.85 2.177 7.337 2.966 0
0.803 4.691 -0.49 0.833 5.631 1.668 3.319 3.347 1.801 5.054 1
4.917 6.228 -2.077 -0.47 4.937 0.797 4.247 5.052 3.748 5.7 1
6.164 4.292 4.094 5.186 1.116 1.575 3.37 -0.214 10.738 3.701 1
